date,trend,ticker
2024-12-29,29,AAPL
2025-01-05,32,AAPL
2025-01-12,34,AAPL
2025-01-19,40,AAPL
2025-01-26,73,AAPL
2025-02-02,46,AAPL
2025-02-09,38,AAPL
2025-02-16,33,AAPL
2025-02-23,38,AAPL
2025-03-02,37,AAPL
2025-03-09,43,AAPL
2025-03-16,33,AAPL
2025-03-23,29,AAPL
2025-03-30,66,AAPL
2025-04-06,100,AAPL
2025-04-13,57,AAPL
2025-04-20,44,AAPL
2025-04-27,55,AAPL
2025-05-04,43,AAPL
2025-05-11,45,AAPL
2025-05-18,39,AAPL
2025-05-25,34,AAPL
2025-06-01,33,AAPL
2025-06-08,41,AAPL
2025-06-15,28,AAPL
2025-06-22,35,AAPL
2025-06-29,34,AAPL
2025-07-06,33,AAPL
2025-07-13,34,AAPL
2025-07-20,38,AAPL
2025-07-27,66,AAPL
2025-08-03,85,AAPL
2025-08-10,85,AAPL
2025-08-17,68,AAPL
2025-08-24,57,AAPL
2025-08-31,60,AAPL
2025-09-07,78,AAPL
2025-09-14,58,AAPL
2025-09-21,64,AAPL
2025-09-28,53,AAPL
2025-10-05,43,AAPL
2025-10-12,42,AAPL
2025-10-19,55,AAPL
2025-10-26,74,AAPL
2025-11-02,47,AAPL
2025-11-09,48,AAPL
2025-11-16,43,AAPL
2025-11-23,36,AAPL
2025-11-30,43,AAPL
2025-12-07,39,AAPL
2025-12-14,37,AAPL
2025-12-21,27,AAPL
2025-12-28,25,AAPL
2026-01-04,37,AAPL
2026-01-11,39,AAPL
2026-01-18,38,AAPL
2026-01-25,61,AAPL
2026-02-01,49,AAPL
2026-02-08,48,AAPL
2026-02-15,40,AAPL
2026-02-22,45,AAPL
2026-03-01,44,AAPL
2026-03-08,41,AAPL
2026-03-15,87,AAPL
2026-03-22,45,AAPL
2026-03-29,48,AAPL
2026-04-05,45,AAPL
2026-04-12,52,AAPL
2026-04-19,56,AAPL
2026-04-26,48,AAPL
2026-05-03,34,AAPL
2026-05-10,10,AAPL
2024-12-29,19,MSFT
2025-01-05,22,MSFT
2025-01-12,26,MSFT
2025-01-19,31,MSFT
2025-01-26,70,MSFT
2025-02-02,35,MSFT
2025-02-09,27,MSFT
2025-02-16,28,MSFT
2025-02-23,36,MSFT
2025-03-02,33,MSFT
