date,trend,ticker
2025-05-11,48,AAPL
2025-05-18,43,AAPL
2025-05-25,37,AAPL
2025-06-01,37,AAPL
2025-06-08,46,AAPL
2025-06-15,29,AAPL
2025-06-22,39,AAPL
2025-06-29,38,AAPL
2025-07-06,39,AAPL
2025-07-13,40,AAPL
2025-07-20,44,AAPL
2025-07-27,73,AAPL
2025-08-03,94,AAPL
2025-08-10,95,AAPL
2025-08-17,76,AAPL
2025-08-24,62,AAPL
2025-08-31,67,AAPL
2025-09-07,90,AAPL
2025-09-14,67,AAPL
2025-09-21,67,AAPL
2025-09-28,59,AAPL
2025-10-05,51,AAPL
2025-10-12,47,AAPL
2025-10-19,60,AAPL
2025-10-26,79,AAPL
2025-11-02,52,AAPL
2025-11-09,51,AAPL
2025-11-16,47,AAPL
2025-11-23,44,AAPL
2025-11-30,49,AAPL
2025-12-07,42,AAPL
2025-12-14,42,AAPL
2025-12-21,31,AAPL
2025-12-28,28,AAPL
2026-01-04,43,AAPL
2026-01-11,41,AAPL
2026-01-18,42,AAPL
2026-01-25,69,AAPL
2026-02-01,57,AAPL
2026-02-08,50,AAPL
2026-02-15,45,AAPL
2026-02-22,53,AAPL
2026-03-01,51,AAPL
2026-03-08,47,AAPL
2026-03-15,100,AAPL
2026-03-22,46,AAPL
2026-03-29,52,AAPL
2026-04-05,50,AAPL
2026-04-12,57,AAPL
2026-04-19,63,AAPL
2026-04-26,65,AAPL
2026-05-03,39,AAPL
2026-05-10,39,AAPL
2025-05-11,37,MSFT
2025-05-18,27,MSFT
2025-05-25,25,MSFT
2025-06-01,29,MSFT
2025-06-08,29,MSFT
2025-06-15,26,MSFT
2025-06-22,35,MSFT
2025-06-29,30,MSFT
2025-07-06,31,MSFT
2025-07-13,31,MSFT
2025-07-20,32,MSFT
2025-07-27,70,MSFT
2025-08-03,48,MSFT
2025-08-10,51,MSFT
2025-08-17,48,MSFT
2025-08-24,40,MSFT
2025-08-31,40,MSFT
2025-09-07,42,MSFT
2025-09-14,40,MSFT
2025-09-21,37,MSFT
2025-09-28,36,MSFT
2025-10-05,37,MSFT
2025-10-12,32,MSFT
2025-10-19,35,MSFT
2025-10-26,70,MSFT
2025-11-02,40,MSFT
2025-11-09,35,MSFT
2025-11-16,42,MSFT
2025-11-23,31,MSFT
2025-11-30,34,MSFT
